Product_ID,SKU Code,SKU Description,Category,Sub Category,Product,Sub Product
P36,4004905305,Bread Crumb Promotion 600 G,Sweet Crust,Pastry,Frozen Pastry,Pastry Leaves
P37,4002014393,Sf Cheese Onion Sandwich Wb,Sweet Crust,Pastry,Frozen Pastry,Pastry Leaves
P38,4004025450,MINI CROISSANT HONEY 22 G,Sweet Crust,Pastry,Frozen Pastry,Pastry Leaves
P39,4002045117,Sf Chicken Caesar Salad 221 G,Sweet Crust,Pastry,Frozen Pastry,Pastry Leaves
P40,4002045111,SF TABOULA SALAD,Sweet Crust,Pastry,Frozen Pastry,Pastry Leaves
P41,4004055618,Pate Mini Pizza,Sweet Crust,Pastry,Frozen Pastry,Pastry Leaves
P42,4004015439,Croissant Honey 65G M F,Sweet Crust,Pastry,Frozen Pastry,Pastry Leaves
P43,4004025437,Mini Croissant Chocolate 22 G,Sweet Crust,Pastry,Frozen Pastry,Pastry Leaves
P44,4004055624,Feta Cheese Bunz72*100Gr,Sweet Crust,Pastry,Frozen Pastry,Pastry Leaves
P45,4004055606,PATE MINI CHEESE AND MINT 35G,Sweet Crust,Pastry,Frozen Pastry,Pastry Leaves
P46,4004015437,Croissant Feta Cheese 65G M F,Sweet Crust,Pastry,Frozen Pastry,Pastry Leaves
P47,4002014406,Sf Smoked Turkey Sandwich Wb,Sweet Crust,Pastry,Frozen Pastry,Pastry Leaves
P48,4002014408,SO FRESH TUNAMAYOS SAND-BROWN,Sweet Crust,Pastry,Frozen Pastry,Pastry Leaves
P49,4004015454,XL PLAIN CROISSANT,Sweet Crust,Pastry,Frozen Pastry,Pastry Leaves
P50,4004025436,Mini Croissant Plain 20 G,Sweet Crust,Pastry,Frozen Pastry,Pastry Leaves
P51,4002045118,Sf Four Season Salad,Sweet Crust,Pastry,Frozen Pastry,Pastry Leaves
P52,4002014385,SF EGGS / DILL SANDWICH WB,Sweet Crust,Pastry,Frozen Pastry,Pastry Leaves
P53,4002014405,Sf Mortadellacheese Sandwichwb,Sweet Crust,Pastry,Frozen Pastry,Pastry Leaves
P54,4004025306,BREAD CRUMB 500G SPECIAL PRICE,Sweet Crust,Pastry,Frozen Pastry,Pastry Leaves
P55,4002045104,Sf Pasta Salad,Sweet Crust,Pastry,Frozen Pastry,Pastry Leaves
P56,4004015455,XL STRAWBERRY CROISSANT 50*100,Sweet Crust,Pastry,Frozen Pastry,Pastry Leaves
P57,4002024339,SF BEEF / MUSHROOM PREMIUM SUB,Sweet Crust,Pastry,Frozen Pastry,Pastry Leaves
P58,4002014402,SFHALLOUMI CHEESE SANDWICH BB,Sweet Crust,Pastry,Frozen Pastry,Pastry Leaves
P59,5001050028,ROTHI PARATHA BROWN 320GR.,Sweet Crust,Pastry,Frozen Pastry,Pastry Leaves
P60,4002014403,Sfhalloumi Cheese Sandwich Wb,Sweet Crust,Pastry,Frozen Pastry,Pastry Leaves
P61,4002014400,SF FETA TOMATO SANDWICH BB,Sweet Crust,Pastry,Frozen Pastry,Pastry Leaves
P62,4004055601,PATEE MINI OREGANO 35G,Sweet Crust,Pastry,Frozen Pastry,Pastry Leaves
P63,4001903203,Puff Pastry Promotion 540 G,Sweet Crust,Pastry,Frozen Pastry,Pastry Leaves
P64,4002045101,Sf Greek Salad 200 Gr.,Sweet Crust,Pastry,Frozen Pastry,Pastry Leaves
P65,4002014398,Sf Chicken Tikka Sandwich Wb,Sweet Crust,Pastry,Frozen Pastry,Pastry Leaves
P66,4002014396,Sf Chicken Mayo Sandwich Wb,Sweet Crust,Pastry,Frozen Pastry,Pastry Leaves
P67,4004025449,MINI CROISSANT STRAWBERRY 22 G,Sweet Crust,Pastry,Frozen Pastry,Pastry Leaves
P68,4002014394,Sf Chicken Mayo Sandwich Bb,Sweet Crust,Pastry,Frozen Pastry,Pastry Leaves
P69,4004120002,Bunzz Feta Cheese / Olive,Sweet Crust,Pastry,Frozen Pastry,Pastry Leaves
P70,4004015432,Croissant Oregano 65G M F,Sweet Crust,Pastry,Frozen Pastry,Pastry Leaves
P71,4002045107,Sf Caesar Salad,Sweet Crust,Pastry,Frozen Pastry,Pastry Leaves
P72,4004055605,Patee Mini Cheeseolives 35G,Sweet Crust,Pastry,Frozen Pastry,Pastry Leaves
P73,4002014383,SF CHICKEN AVOCADO SANDWICH BB,Sweet Crust,Pastry,Frozen Pastry,Pastry Leaves
P74,4002014411,SF SMOKED TURKEY/CREAMY CHS WB,Sweet Crust,Pastry,Frozen Pastry,Pastry Leaves
P75,4004015424,Croissant Plain 60 G,Sweet Crust,Pastry,Frozen Pastry,Pastry Leaves
P76,4003190002,CHEESE CAKE CHERRY,Sweet Crust,Pastry,Frozen Pastry,Pastry Leaves
P77,4002045145,SF QUINOA SALAD 162 GR.,Sweet Crust,Pastry,Frozen Pastry,Pastry Leaves
P78,4002024348,BEEF STROGANOFF 330 G,Sweet Crust,Pastry,Frozen Pastry,Pastry Leaves
P79,4004904207,MINIS(PATE CHS OLV+CRS CHOCO),Sweet Crust,Pastry,Frozen Pastry,Pastry Leaves
P80,4004055613,Large Patee Pizza 75 G,Sweet Crust,Pastry,Frozen Pastry,Pastry Leaves
P81,4002024340,SF CHICKEN FAJITA PREMIUM SUB,Sweet Crust,Pastry,Frozen Pastry,Pastry Leaves
P82,4002024347,CHICKEN PASTA 350 G,Sweet Crust,Pastry,Frozen Pastry,Pastry Leaves
P83,4002024346,MUTTON KEBAB 340 G,Sweet Crust,Pastry,Frozen Pastry,Pastry Leaves
P84,5004700205,ORION CUSTARD 12P,Sweet Crust,Pastry,Frozen Pastry,Pastry Leaves
P85,4002045147,SF RUSSIAN SALAD 180 GM,Sweet Crust,Pastry,Frozen Pastry,Pastry Leaves
P86,4001033101,Puff Pastry 450 G,Sweet Crust,Pastry,Frozen Pastry,Pastry Leaves
P87,4004019237,TENDER CHOCOLATE CROISSANT 60 G,Sweet Crust,Pastry,Frozen Pastry,Pastry Leaves
P88,4002014410,SF DYNAMITE SHRIMP SANDWICH WB,Sweet Crust,Pastry,Frozen Pastry,Pastry Leaves
P89,4002211108,GARLIC PASTE 1KG,Sweet Crust,Pastry,Frozen Pastry,Pastry Leaves
P90,4004019035,PLAIN CROISSANTS TO BID,Sweet Crust,Pastry,Frozen Pastry,Pastry Leaves
P91,5001050002,SPRING ROLL PASTRY 275GR.,Sweet Crust,Pastry,Frozen Pastry,Pastry Leaves
P92,5004700207,ORION CHOCO. PIE DOUBLE CHOCO,Sweet Crust,Pastry,Frozen Pastry,Pastry Leaves
P93,4002014390,SF TUNA SALAD SANDWICH WB,Sweet Crust,Pastry,Frozen Pastry,Pastry Leaves
P94,4002012570,PAUL LETTUCE 1KG,Sweet Crust,Pastry,Frozen Pastry,Pastry Leaves
P95,4003399234,COLESLAW SALAD 16 OZ ( BAZOOKA),Sweet Crust,Pastry,Frozen Pastry,Pastry Leaves
P96,4004015441,CROISSANT ROMI CHEESE 65G M F,Sweet Crust,Pastry,Frozen Pastry,Pastry Leaves
P97,4002211103,Hardees Tomato 2 Kg,Sweet Crust,Pastry,Frozen Pastry,Pastry Leaves
P98,4002211087,Hardees Orange Juice 2 L,Sweet Crust,Pastry,Frozen Pastry,Pastry Leaves
P99,5001050001,SPRING ROLL PASTRY 250GR,Sweet Crust,Pastry,Frozen Pastry,Pastry Leaves
P100,4001033110,Puff Pastry 18*400 Saudi,Sweet Crust,Pastry,Frozen Pastry,Pastry Leaves
P101,4004019236,TENDER FETA CHEESE PATEE 60 G,Sweet Crust,Pastry,Frozen Pastry,Pastry Leaves
P102,4002045120,SF CHICKEN PASTA 340 GR. SALAD,Sweet Crust,Pastry,Frozen Pastry,Pastry Leaves
P103,4002014384,SF CHICKEN SALAD SANDWICH WB,Sweet Crust,Pastry,Frozen Pastry,Pastry Leaves
P104,4002211123,CREAM CHEESE SANDWICH,Sweet Crust,Pastry,Frozen Pastry,Pastry Leaves
P105,4004019032,WHITE CHEESE CROISSANTS FOR TENDER,Sweet Crust,Pastry,Frozen Pastry,Pastry Leaves
P106,4002211082,KFC MINT 150 G,Sweet Crust,Pastry,Frozen Pastry,Pastry Leaves
P107,4004904208,MINIS(PATE CHS+MINI CRS PLAIN,Sweet Crust,Pastry,Frozen Pastry,Pastry Leaves
P108,4002014388,SF SPICY FETA SANDWICH WB,Sweet Crust,Pastry,Frozen Pastry,Pastry Leaves
P109,4002211119,CUPCAKE VANILLA TENDER 60 G,Sweet Crust,Pastry,Frozen Pastry,Pastry Leaves
P110,4004905306,BREAD CRUMB 1*30 KG,Sweet Crust,Pastry,Frozen Pastry,Pastry Leaves
P111,4002211080,Kfc Iceberg 1.5 Kg,Sweet Crust,Pastry,Frozen Pastry,Pastry Leaves
P112,4003399237,COLESLAW SALAD 4 OZ ( BAZOOKA ),Sweet Crust,Pastry,Frozen Pastry,Pastry Leaves
P113,4002211081,KFC TOMATO 1 KG,Sweet Crust,Pastry,Frozen Pastry,Pastry Leaves
P114,4002211084,KFC LEMON 500 G,Sweet Crust,Pastry,Frozen Pastry,Pastry Leaves
P115,4002211078,Coleslaw Salad 16 Oz,Sweet Crust,Pastry,Frozen Pastry,Pastry Leaves
P116,4002211077,Coleslaw Salad 4 Oz,Sweet Crust,Pastry,Frozen Pastry,Pastry Leaves
P117,4002024344,BROWN TOAST MILLE GUSTI,Sweet Crust,Pastry,Frozen Pastry,Pastry Leaves
P118,4002211100,Hardees Iceberg 1 Kg,Sweet Crust,Pastry,Frozen Pastry,Pastry Leaves
P119,3040321142,Ksa Pound Cake Chocolate Packet,Cake,Cakes,Pound Cake,Pound Cake
P120,3040430746,Superman Coated Vanila Cake Sandwich 8*12*35G,Cake,Cakes,Pound Cake,Pound Cake
P121,3050402105,LION CHIPS (SPICY CHEESE) 12 BAG*36 GM,Cake,Cakes,Pound Cake,Pound Cake
P122,3040421150,Fresh Vanilla Cake 1*12,Cake,Cakes,Pound Cake,Pound Cake
P123,3040441124,Butter Cookies Packet Small Blue 4*(10+2)*44G,Cake,Cakes,Pound Cake,Pound Cake
P124,3040441222,Choco Cookies Chocolate Packet 8*6*45Gm,Cake,Cakes,Pound Cake,Pound Cake
P125,3040311921,Super Strawberry Rolls 8*6*60,Cake,Cakes,Pound Cake,Pound Cake
P126,3040421776,Tom & Jerry Strawberry Cupcake 8*12*35gm,Cake,Cakes,Pound Cake,Pound Cake
P127,3040441200,Choco Cookies Large Tin Original 1*6,Cake,Cakes,Pound Cake,Pound Cake
P128,3040311251,Rolls Packet 6 Pieces Vanilla,Cake,Cakes,Pound Cake,Pound Cake
P129,3040311721,Rolls Packet 3 Pieces Vanilla,Cake,Cakes,Pound Cake,Pound Cake
P130,3040411341,Munchy Roll Vanilla Filled With Vanilla Cream,Cake,Cakes,Pound Cake,Pound Cake
P131,3040441208,Hershey'S Choco Cookies Small Tin Original 12*504Gm,Cake,Cakes,Pound Cake,Pound Cake
P132,3040441235,Soft Cookies Original 4*12*40gm,Cake,Cakes,Pound Cake,Pound Cake
P133,3040411343,Strawberry Munchy Roll,Cake,Cakes,Pound Cake,Pound Cake
P134,3040441232,Soft Cookies Peanut 12*4*40gm,Cake,Cakes,Pound Cake,Pound Cake
P135,3050402701,Fresh Rusk - Brown Bag 8*375Gm,Cake,Cakes,Pound Cake,Pound Cake
P136,3040421152,Fresh Chocolate Cake 1*12,Cake,Cakes,Pound Cake,Pound Cake
P137,3040430748,Wonder Woman Sandwich Cake Vanilla,Cake,Cakes,Pound Cake,Pound Cake
P138,3040441311,Hersheys Original Mini Choco Cookies 8*6*35gm,Cake,Cakes,Pound Cake,Pound Cake
P139,3050402521,Cashew Nuts Cookies 3*8*90gm,Cake,Cakes,Pound Cake,Pound Cake
P140,3040311922,Super Roll Chocolate 8*6*60,Cake,Cakes,Pound Cake,Pound Cake
P141,3050402107,LION CHIPS (CHILI LEMON) 12 BAG*36 GM,Cake,Cakes,Pound Cake,Pound Cake
P142,3040441201,Choco Cookies Large Tin Chocolate 1*6,Cake,Cakes,Pound Cake,Pound Cake
P143,3040441236,Soft Cookies Chocolate 4*12*40gm,Cake,Cakes,Pound Cake,Pound Cake
P144,3040421703,Cup Cake 1 Piece Chocolate18X10X25gm,Cake,Cakes,Pound Cake,Pound Cake
P145,3040441312,Hersheys Mini Choco Cookies Chocolate 8*6*35g,Cake,Cakes,Pound Cake,Pound Cake
P146,3040321144,Ksa Pound Cake Marble Packet,Cake,Cakes,Pound Cake,Pound Cake
P147,3050402100,LION CHIPS (SPICY CHEESE) 12 BAG*22 GM,Cake,Cakes,Pound Cake,Pound Cake
P148,3040441110,Butter Cookies Packet Large Blue 4*6*100Gm,Cake,Cakes,Pound Cake,Pound Cake
P149,3040421702,Cup Cake 1 Piece Vanilia 18X10X25gm,Cake,Cakes,Pound Cake,Pound Cake
P150,3040421753,Cupcake 1 Piece Chocolate,Cake,Cakes,Pound Cake,Pound Cake
P151,3050402514,Munchy Wafer Vanilla 40 Gm,Cake,Cakes,Pound Cake,Pound Cake
P152,3050405101,Am Plain Fava Beans 24X400G,Fresh Fare,Foul,Foul Plain,Foul Plain
P153,3050405002,Crunchy 200g12P Sweet Corn EO KSA,Fresh Fare,Foul,Foul Plain,Foul Plain
P154,3050405114,Crunchy 400g 24P Processed Peas,Fresh Fare,Foul,Foul Plain,Foul Plain
P155,3040441211,Choco Cookies Original Packet 12*180gm,Cake,Cakes,Pound Cake,Pound Cake
P156,3040311102,Large Swiss Roll Strawberry Cream 110 G,Cake,Cakes,Pound Cake,Pound Cake
P157,3040430747,Batman Coated Chocolat Cake Sandwich 8*12*35G,Cake,Cakes,Pound Cake,Pound Cake
P158,3050405102,Crunchy 400g x 24P Fava Bean Medammas,Fresh Fare,Foul,Foul Plain,Foul Plain
P159,3050402116,LION CHIPS (KETCHUP) 6 BAG*100 GM,Cake,Cakes,Pound Cake,Pound Cake
P160,3040421743,Cupcake 2 Vanilla Pieces 4*12*55gm,Cake,Cakes,Pound Cake,Pound Cake
P161,3050402703,Fresh Rusk - Red Bag 8*375Gm,Cake,Cakes,Pound Cake,Pound Cake
P162,3040311354,Single Chocolate Rolls 4*24,Cake,Cakes,Pound Cake,Pound Cake
P163,3040311920,Super Vanilla Rolls 8*6*60,Cake,Cakes,Pound Cake,Pound Cake
P164,3040421153,Fresh Marble Cake 1*12,Cake,Cakes,Pound Cake,Pound Cake
P165,3040311101,Large Swiss Roll with Vanilla cream 110 g,Cake,Cakes,Pound Cake,Pound Cake
P166,3040421751,Cupcake 1 Piece Vanilla 4*20,Cake,Cakes,Pound Cake,Pound Cake
P167,3050402504,Tea Biscuit 80 Gm,Cake,Cakes,Pound Cake,Pound Cake
P168,3040441237,Soft Cookies Peanut 4*12*40gm,Cake,Cakes,Pound Cake,Pound Cake
P169,3050402111,LION CHIPS (KETCHUP) 10 BAG*60 GM,Cake,Cakes,Pound Cake,Pound Cake
P170,3050405112,Crunchy 400g x 24P Chick Peas,Fresh Fare,Foul,Foul Plain,Foul Plain
P171,3040441209,Hershey'S Choco Cookies Small Tin Chocolate 12*504Gm,Cake,Cakes,Pound Cake,Pound Cake
P172,3040321117,Pound Cake Chocolate 300 Gm Promo,Cake,Cakes,Pound Cake,Pound Cake
P173,3040430775,Munchy Cake Bar Chocolate Cream,Cake,Cakes,Pound Cake,Pound Cake
P174,3040441206,Choco Cookies Small Tin Original 12*605Gm,Cake,Cakes,Pound Cake,Pound Cake
P175,3040311103,Large Swiss Roll Cocoa with Vanilla Cream 110 g,Cake,Cakes,Pound Cake,Pound Cake
P176,3050402520,Butter Nuts Cookies 3*8*90gm,Cake,Cakes,Pound Cake,Pound Cake
P177,3040441217,Hershey Choco Cookie Packet Chocolate 12*100g,Cake,Cakes,Pound Cake,Pound Cake
P178,3050402502,Tea Biscuit 90 Gm,Cake,Cakes,Pound Cake,Pound Cake
P179,3040311722,Rolls Packet 3 Pieces Strawberry,Cake,Cakes,Pound Cake,Pound Cake
P180,3050402505,Tea Biscuit 150 Gm,Cake,Cakes,Pound Cake,Pound Cake
P181,3040430766,Munchy Cake Bar Chocolate18X10X22gm,Cake,Cakes,Pound Cake,Pound Cake
P182,3050405111,Crunchy 400gx 24P Red Kidney Beans,Fresh Fare,Foul,Foul Plain,Foul Plain
P183,3040430774,Munchy Cake Bar With Vanilla Cream,Cake,Cakes,Pound Cake,Pound Cake
P184,3040441111,Blue Butter Cookies Large Packet (5+1 ),Cake,Cakes,Pound Cake,Pound Cake
P185,3040430767,Munchy Cake Bar Strawberry18X10X22gm,Cake,Cakes,Pound Cake,Pound Cake
P186,3050405524,Crunchy 2500g 6P Chick Peas PRM NL,Fresh Fare,Foul,Foul Plain,Foul Plain
P187,3040441138,Butter Cookies 454g Paper Pack,Cake,Cakes,Pound Cake,Pound Cake
P188,3040421745,Cupcake 2 Chocolate 4*12,Cake,Cakes,Pound Cake,Pound Cake
P189,3040441216,Hershey Choco Cookies Original Packet 12*100g,Cake,Cakes,Pound Cake,Pound Cake
P190,3040441107,Butter Cookies Small Tin Red 12*454Gm,Cake,Cakes,Pound Cake,Pound Cake
P191,3050405001,Whole Sweet Corn Kernels Canned,Fresh Fare,Foul,Foul Plain,Foul Plain
P192,3040441231,Soft Cookies Chocolate 12*4*40gm,Cake,Cakes,Pound Cake,Pound Cake
P193,3040321140,Ksa Pound Cake Vanilla Packet,Cake,Cakes,Pound Cake,Pound Cake
P194,3040321143,Ksa Pound Cake Chocolate Chunks,Cake,Cakes,Pound Cake,Pound Cake
P195,3040441207,Choco Cookies Small Tin Chocolate 12*605Gm,Cake,Cakes,Pound Cake,Pound Cake
P196,3040441220,Choco Cookies Original Packet 8*6*45Gm,Cake,Cakes,Pound Cake,Pound Cake
P197,3040441106,Butter Cookies Small Tin Blue 12*454Gm,Cake,Cakes,Pound Cake,Pound Cake
P198,3040311723,Rolls Packet 3 Pieces Of Chocolate,Cake,Cakes,Pound Cake,Pound Cake
P199,3040441100,Butter Cookies Large Tin Blue 6*908Gm,Cake,Cakes,Pound Cake,Pound Cake
P200,3040441219,Hershey'S Choco Cookies Packet Chocolate 12*100Gm (3+1),Cake,Cakes,Pound Cake,Pound Cake
P201,3040311252,Rolls Packet 6 Pieces Strawberry,Cake,Cakes,Pound Cake,Pound Cake
P202,3040441101,Butter Cookies Large Tin Red 6*908Gm,Cake,Cakes,Pound Cake,Pound Cake
P203,3040311351,Single Vanilla Rolls 4*24,Cake,Cakes,Pound Cake,Pound Cake
P204,3040430776,Double Chocolate Cake Bar,Cake,Cakes,Pound Cake,Pound Cake
P205,3040411342,Munchy Roll Chocolate Filled With Vanilla Cream,Cake,Cakes,Pound Cake,Pound Cake
P206,3040421752,Cupcake 1 Piece Orange 4*20,Cake,Cakes,Pound Cake,Pound Cake
P207,3040311254,Rolls Packet 6 Pieces Chocolate,Cake,Cakes,Pound Cake,Pound Cake
P208,3040421777,Tom & Jerry Chocolate Cupcake 8*12*35gm,Cake,Cakes,Pound Cake,Pound Cake
P209,3040430765,Munchy Cake Bar Vanilla18X10X22gm,Cake,Cakes,Pound Cake,Pound Cake
P210,3050402704,Fresh Rusk - Diet Bag 8*350Gm,Cake,Cakes,Pound Cake,Pound Cake
P211,3040441214,Peanut Butter Cookies 3+1,Cake,Cakes,Pound Cake,Pound Cake
P212,3050405503,Crunchy Light Tuna Solid in Sunflower Oil,Fresh Fare,Foul,Foul Plain,Foul Plain
P213,3040441230,Soft Cookies Original 12*4*40gm,Cake,Cakes,Pound Cake,Pound Cake
P214,3050402118,LION CHIPS (CHILI LEMON) 6 BAG*100 GM,Cake,Cakes,Pound Cake,Pound Cake
P215,3050405501,Light Cut Tuna / Sunflower Oil,Fresh Fare,Foul,Foul Plain,Foul Plain
P216,3050405511,Royal Shrededtuna/Vegetableoil,Fresh Fare,Foul,Foul Plain,Foul Plain
P217,3040441121,Butter Cookies Packet - Small Blue 4*12*44Gm,Cake,Cakes,Pound Cake,Pound Cake
P218,3040311253,Rolls Packet 6 Pieces Orange,Cake,Cakes,Pound Cake,Pound Cake
P219,3040321111,Pound Cake Vanilla,Cake,Cakes,Pound Cake,Pound Cake
P220,3040430777,Munchy Strawberry Cake Bar,Cake,Cakes,Pound Cake,Pound Cake
P221,3040441212,Choco Cookies Chocolate Packet 12*180gm,Cake,Cakes,Pound Cake,Pound Cake
P222,3040311502,Single Mickey Strawberry Roll New 4*24,Cake,Cakes,Pound Cake,Pound Cake
P223,3050402522,Nuts Cookies Almonds & Pistachios 3*8*90gm,Cake,Cakes,Pound Cake,Pound Cake
P224,3040441218,Hershey'S Choco Cookies Packet Original 12*100Gm (3+1),Cake,Cakes,Pound Cake,Pound Cake
P225,3040321138,Marble Pound Cake 290 Gm Promo,Cake,Cakes,Pound Cake,Pound Cake
P226,3040321137,Chocolate Pound Cake 290 G Bur,Cake,Cakes,Pound Cake,Pound Cake
P227,3050402112,LION CHIPS (CHILI LEMON) 10 BAG*60 GM,Cake,Cakes,Pound Cake,Pound Cake
P228,3040311320,Small Swiss Roll with Vanilla Cream,Cake,Cakes,Pound Cake,Pound Cake
P229,3050402525,Nuts Cookies Almonds & Pistachios 3*(6+2)*90g,Cake,Cakes,Pound Cake,Pound Cake
P230,3040441215,Cookies With Peanut Butter 12*100gm,Cake,Cakes,Pound Cake,Pound Cake
P231,3050405113,Baked Beans in Tomato Sauce 400G,Fresh Fare,Foul,Foul Plain,Foul Plain
P232,3040421744,Cupcake 2 Oranges 4*12*55gm,Cake,Cakes,Pound Cake,Pound Cake
P233,3040311321,Small Swiss Roll Vanilla Cream with strawberry Jam,Cake,Cakes,Pound Cake,Pound Cake
P234,3050402117,LION CHIPS (SPICY CHEESE) 6 BAG*100 GM,Cake,Cakes,Pound Cake,Pound Cake
P235,3040321113,Pound Cake Chocolate,Cake,Cakes,Pound Cake,Pound Cake
P236,3040441203,Hershey'S Assorted Choco Cookies Tin,Cake,Cakes,Pound Cake,Pound Cake
P237,3050402101,LION CHIPS (KETCHUP) 12 BAG*22 GM,Cake,Cakes,Pound Cake,Pound Cake
P238,3050405520,Crunchy 2500g 6P Foul Medammas NL,Fresh Fare,Foul,Foul Plain,Foul Plain
P239,3040141401,Chewy Cookies 1*72*54Gm,Cake,Cakes,Pound Cake,Pound Cake
P240,3050402110,LION CHIPS (SPICY CHEESE) 10 BAG*60 GM,Cake,Cakes,Pound Cake,Pound Cake
P241,3050402115,LION CHIPS (SALT) 6 BAG*100 GM,Cake,Cakes,Pound Cake,Pound Cake
P242,3050402523,Butter Nuts Cookies 3*(6+2)*90gm,Cake,Cakes,Pound Cake,Pound Cake
P243,3050405502,Canned Crumbled Tuna,Fresh Fare,Foul,Foul Plain,Foul Plain
P244,3040441426,Hardee'S Ice Cream Cookies,Cake,Cakes,Pound Cake,Pound Cake
P245,3040431847,Galaxy Hazelnut Outer 6*12 - 30Gm,Cake,Cakes,Pound Cake,Pound Cake
P246,3040311506,Single Mickey Chocolate Roll New 4*24,Cake,Cakes,Pound Cake,Pound Cake
P247,3050402515,Munchy Wafer Chocolate 40 Gm,Cake,Cakes,Pound Cake,Pound Cake
P248,3040431845,Galaxy Caramel Outer 6*12 - 30Gm,Cake,Cakes,Pound Cake,Pound Cake
P249,3040421163,Fresh Marble Cake 1*12 Pcs,Cake,Cakes,Pound Cake,Pound Cake
P250,3050402531,Chocolate Stuffed Cookies,Cake,Cakes,Pound Cake,Pound Cake
P251,3050402524,Cashew Nuts Cookies 3*(6+2)*90gm,Cake,Cakes,Pound Cake,Pound Cake
P252,3050402532,Peanut Stuffed Cookies,Cake,Cakes,Pound Cake,Pound Cake
P253,3040311927,Super Rolls Chocolate 60Gm (5+1),Cake,Cakes,Pound Cake,Pound Cake
